 [-1.71924186e-01  1.63657992e+00]
 [-1.52514981e-01  1.63455541e+00]
 [-1.31957991e-01  1.61737052e+00]
 [-1.13141375e-01  1.61881524e+00]
 [-9.42693414e-02  1.61935973e+00]
 [-7.54442873e-02  1.62063672e+00]
 [-5.58435699e-02  1.59995726e+00]
 [-3.73499488e-02  1.60551513e+00]
 [-1.84266712e-02  1.58438232e+00]
 [-2.90587288e-09  1.56007862e+00]
 [ 1.84510356e-02  1.58647775e+00]
 [ 3.64968180e-02  1.56884293e+00]
 [ 5.40637877e-02  1.54896543e+00]
 [ 7.31264899e-02  1.57084769e+00]
 [ 8.96568679e-02  1.54012671e+00]
 [ 1.07471565e-01  1.53769225e+00]
 [ 1.24214172e-01  1.52245686e+00]
 [ 1.42099821e-01  1.52293263e+00]
 [ 1.59648916e-01  1.51972929e+00]
 [ 1.78723139e-01  1.52985196e+00]
 [ 1.94251805e-01  1.51017386e+00]
 [ 2.08577982e-01  1.48486738e+00]
 [ 2.27135651e-01  1.49089838e+00]
 [ 2.41854251e-01  1.47230227e+00]
 [ 2.60140329e-01  1.47608812e+00]
 [ 2.76321626e-01  1.46782558e+00]
 [ 2.94577858e-01  1.47052810e+00]
 [ 3.12806056e-01  1.47240075e+00]
 [ 3.26457231e-01  1.45330132e+00]
 [ 3.40422009e-01  1.43710424e+00]
 [ 3.54117188e-01  1.42103170e+00]
 [ 3.74446088e-01  1.43144781e+00]
 [ 3.90232451e-01  1.42394880e+00]
 [ 4.11142942e-01  1.43458757e+00]
 [ 4.22319224e-01  1.41139726e+00]
 [ 4.44252823e-01  1.42417761e+00]
 [ 4.54400500e-01  1.39925449e+00]
 [ 4.67954951e-01  1.38591658e+00]
 [ 4.84588842e-01  1.38194403e+00]
 [ 4.93313976e-01  1.35611102e+00]
 [ 5.11214467e-01  1.35602006e+00]
 [ 5.32533004e-01  1.36428726e+00]
 [ 5.51056262e-01  1.36467213e+00]
 [ 5.67102057e-01  1.35868107e+00]
 [ 5.80512874e-01  1.34653970e+00]
 [ 5.99360664e-01  1.34695104e+00]
 [ 6.18601472e-01  1.34777046e+00]
 [ 6.28085383e-01  1.32749118e+00]
 [ 6.44883099e-01  1.32297388e+00]
 [ 6.57356539e-01  1.30967012e+00]
 [ 6.74607579e-01  1.30593403e+00]
 [ 6.91514475e-01  1.30132242e+00]
 [ 7.13585284e-01  1.30597429e+00]
 [ 7.27157485e-01  1.29479672e+00]
 [ 7.39606045e-01  1.28181603e+00]
 [ 7.49851547e-01  1.26534688e+00]
 [ 7.73655505e-01  1.27156235e+00]
